task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	ef/a0dc64	135881	EASEL:DATA_INPUT:ORTHODB	CACHED	0	2024-10-22 20:58:58.236	54.5s	52.2s	53.2%	12.4 MB	21.9 MB	4.7 GB	5.1 GB
2	d9/7ff779	135882	EASEL:DATA_INPUT:FORMAT_GENOME	CACHED	0	2024-10-22 20:58:58.301	9.4s	7s	63.8%	56.9 MB	77.9 MB	1 GB	1 GB
3	f6/b3c5bd	135932	EASEL:ANNOTATION:COMBINE_RNA	CACHED	0	2024-10-22 21:52:53.130	4m 15s	3m 54s	99.8%	2.2 GB	2.2 GB	197.3 MB	119.9 MB
4	26/afa77c	135936	EASEL:ANNOTATION:COMPARE_RNA	CACHED	0	2024-10-22 21:57:07.980	4.9s	3s	89.7%	104.4 MB	109.8 MB	82.7 MB	34 MB
8	18/f349b5	135887	EASEL:DATA_INPUT:ORTHODB_ALIGN	CACHED	0	2024-10-22 20:59:59.424	4h 3m 24s	4h 2m 32s	1536.3%	10.4 GB	11.1 GB	3.3 GB	41.8 GB
7	ff/ec9772	136154	EASEL:ANNOTATION:FIX_EXONS (5)	CACHED	0	2024-10-23 08:53:41.213	9.5s	4s	126.3%	161.6 MB	170.8 MB	1.2 GB	125.1 MB
5	21/064389	136153	EASEL:ANNOTATION:FIX_EXONS (4)	CACHED	0	2024-10-23 08:53:41.189	9.5s	4s	130.5%	162.1 MB	171.1 MB	1.2 GB	125.3 MB
11	bb/d69f16	136027	EASEL:ANNOTATION:FIX_EXONS (2)	CACHED	0	2024-10-23 00:46:33.535	9.7s	5s	128.3%	173.3 MB	182.3 MB	1.2 GB	164.3 MB
9	c4/6c48c4	136026	EASEL:ANNOTATION:FIX_EXONS (3)	CACHED	0	2024-10-23 00:46:33.330	9.9s	5s	132.9%	134.9 MB	184 MB	1.2 GB	167 MB
10	89/11e76f	136216	EASEL:ANNOTATION:GRAB_TRANSCRIPTS	CACHED	0	2024-10-23 11:33:55.922	39.4s	3.3s	87.8%	16.2 MB	22.6 MB	110.9 MB	46.4 MB
6	cb/c4c9f1	135884	EASEL:DATA_INPUT:PERCENT_MASKED	CACHED	0	2024-10-22 20:59:08.385	19.3s	16.3s	83.3%	61.5 MB	65.5 MB	2 GB	523 MB
15	8a/4316b3	136029	EASEL:ANNOTATION:RENAME_ATTRIBUTES (2)	CACHED	0	2024-10-23 00:46:43.502	2m 25s	2m 21s	94.9%	1.2 GB	1.2 GB	329.5 MB	210.4 MB
13	a7/3a1f66	136156	EASEL:ANNOTATION:RENAME_ATTRIBUTES (4)	CACHED	0	2024-10-23 08:53:50.958	1m 45s	1m 39s	99.8%	928.6 MB	931.5 MB	253.5 MB	163.1 MB
12	ea/cfda80	136030	EASEL:ANNOTATION:ORTHODB_HINTS	CACHED	0	2024-10-23 01:03:23.320	5h 33m 27s	5h 33m 15s	30.2%	9.6 GB	9.7 GB	86.2 GB	15 GB
17	f4/6a1b1d	136155	EASEL:ANNOTATION:RENAME_ATTRIBUTES (5)	CACHED	0	2024-10-23 08:53:50.829	1m 45s	1m 39s	99.6%	911.9 MB	914.9 MB	257 MB	166.5 MB
16	cb/02ec45	136028	EASEL:ANNOTATION:RENAME_ATTRIBUTES (3)	CACHED	0	2024-10-23 00:46:43.437	2m 25s	2m 23s	94.6%	1.2 GB	1.2 GB	329.4 MB	211.8 MB
18	20/5d72a7	136218	EASEL:ANNOTATION:FIX_EXONS (5)	CACHED	0	2024-10-23 11:34:35.445	40.1s	6s	113.0%	162 MB	170.9 MB	1.2 GB	147.6 MB
