query_sequence	go_id	go_term	category
MSTRG.20583.2	GO:0003735	structural constituent of ribosome	molecular_function
MSTRG.20583.2	GO:0005840	ribosome	cellular_component
MSTRG.20583.2	GO:0006412	translation	biological_process
MSTRG.20583.2	GO:0019843	rRNA binding	molecular_function
MSTRG.20583.2	GO:1990904	ribonucleoprotein complex	cellular_component
MSTRG.20583.1	GO:0003735	structural constituent of ribosome	molecular_function
MSTRG.20583.1	GO:0005840	ribosome	cellular_component
MSTRG.20583.1	GO:0006412	translation	biological_process
MSTRG.20583.1	GO:0019843	rRNA binding	molecular_function
MSTRG.20583.1	GO:1990904	ribonucleoprotein complex	cellular_component
MSTRG.20519.1	GO:0003735	structural constituent of ribosome	molecular_function
MSTRG.20519.1	GO:0005840	ribosome	cellular_component
MSTRG.20519.1	GO:0006412	translation	biological_process
MSTRG.20519.1	GO:1990904	ribonucleoprotein complex	cellular_component
MSTRG.20436.2	GO:0003674	molecular_function	molecular_function
MSTRG.20436.2	GO:0003676	nucleic acid binding	molecular_function
MSTRG.20436.2	GO:0003677	DNA binding	molecular_function
MSTRG.20436.2	GO:0003684	damaged DNA binding	molecular_function
MSTRG.20436.2	GO:0003690	double-stranded DNA binding	molecular_function
MSTRG.20436.2	GO:0003824	catalytic activity	molecular_function
MSTRG.20436.2	GO:0004519	endonuclease activity	molecular_function
MSTRG.20436.2	GO:0005488	binding	molecular_function
MSTRG.20436.2	GO:0005524	ATP binding	molecular_function
MSTRG.20436.2	GO:0005575	cellular_component	cellular_component
MSTRG.20436.2	GO:0005622	intracellular anatomical structure	cellular_component
MSTRG.20436.2	GO:0005623	obsolete cell	cellular_component
MSTRG.20436.2	GO:0006139	nucleobase-containing compound metabolic process	biological_process
MSTRG.20436.2	GO:0006259	DNA metabolic process	biological_process
MSTRG.20436.2	GO:0006281	DNA repair	biological_process
MSTRG.20436.2	GO:0006298	mismatch repair	biological_process
MSTRG.20436.2	GO:0006725	cellular aromatic compound metabolic process	biological_process
MSTRG.20436.2	GO:0006807	nitrogen compound metabolic process	biological_process
MSTRG.20436.2	GO:0006950	response to stress	biological_process
MSTRG.20436.2	GO:0006974	DNA damage response	biological_process
MSTRG.20436.2	GO:0008094	ATP-dependent activity, acting on DNA	molecular_function
MSTRG.20436.2	GO:0008150	biological_process	biological_process
MSTRG.20436.2	GO:0008152	metabolic process	biological_process
MSTRG.20436.2	GO:0009987	cellular process	biological_process
MSTRG.20436.2	GO:0016462	pyrophosphatase activity	molecular_function
MSTRG.20436.2	GO:0016787	hydrolase activity	molecular_function
MSTRG.20436.2	GO:0016817	hydrolase activity, acting on acid anhydrides	molecular_function
MSTRG.20436.2	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	molecular_function
MSTRG.20436.2	GO:0016887	ATP hydrolysis activity	molecular_function
MSTRG.20436.2	GO:0017111	ribonucleoside triphosphate phosphatase activity	molecular_function
MSTRG.20436.2	GO:0030983	mismatched DNA binding	molecular_function
MSTRG.20436.2	GO:0032300	mismatch repair complex	cellular_component
MSTRG.20436.2	GO:0032991	protein-containing complex	cellular_component
MSTRG.20436.2	GO:0033554	cellular response to stress	biological_process
MSTRG.20436.2	GO:0034641	cellular nitrogen compound metabolic process	biological_process
MSTRG.20436.2	GO:0043170	macromolecule metabolic process	biological_process
MSTRG.20436.2	GO:0044237	cellular metabolic process	biological_process
MSTRG.20436.2	GO:0044238	primary metabolic process	biological_process
MSTRG.20436.2	GO:0044260	obsolete cellular macromolecule metabolic process	biological_process
MSTRG.20436.2	GO:0044424	obsolete intracellular part	cellular_component
MSTRG.20436.2	GO:0044464	obsolete cell part	cellular_component
MSTRG.20436.2	GO:0045910	negative regulation of DNA recombination	biological_process
MSTRG.20436.2	GO:0046483	heterocycle metabolic process	biological_process
MSTRG.20436.2	GO:0050896	response to stimulus	biological_process
MSTRG.20436.2	GO:0051716	cellular response to stimulus	biological_process
MSTRG.20436.2	GO:0071704	organic substance metabolic process	biological_process
MSTRG.20436.2	GO:0090304	nucleic acid metabolic process	biological_process
MSTRG.20436.2	GO:0097159	organic cyclic compound binding	molecular_function
MSTRG.20436.2	GO:0140664	ATP-dependent DNA damage sensor activity	molecular_function
MSTRG.20436.2	GO:1901360	organic cyclic compound metabolic process	biological_process
MSTRG.20436.2	GO:1901363	heterocyclic compound binding	molecular_function
MSTRG.20436.2	GO:1990391	DNA repair complex	cellular_component
MSTRG.20930.1	GO:0003998	acylphosphatase activity	molecular_function
MSTRG.21063.1	GO:0005829	cytosol	cellular_component
MSTRG.21063.1	GO:0006353	DNA-templated transcription termination	biological_process
MSTRG.21063.1	GO:0031564	transcription antitermination	biological_process
MSTRG.21063.1	GO:0032784	regulation of DNA-templated transcription elongation	biological_process
MSTRG.21063.1	GO:0140673	transcription elongation-coupled chromatin remodeling	biological_process
MSTRG.18948.1	GO:0003674	molecular_function	molecular_function
MSTRG.18948.1	GO:0003824	catalytic activity	molecular_function
MSTRG.18948.1	GO:0004672	protein kinase activity	molecular_function
MSTRG.18948.1	GO:0005575	cellular_component	cellular_component
MSTRG.18948.1	GO:0005576	extracellular region	cellular_component
MSTRG.18948.1	GO:0005618	cell wall	cellular_component
MSTRG.18948.1	GO:0005622	intracellular anatomical structure	cellular_component
MSTRG.18948.1	GO:0005623	obsolete cell	cellular_component
MSTRG.18948.1	GO:0005634	nucleus	cellular_component
MSTRG.18948.1	GO:0005737	cytoplasm	cellular_component
MSTRG.18948.1	GO:0005739	mitochondrion	cellular_component
MSTRG.18948.1	GO:0005829	cytosol	cellular_component
MSTRG.18948.1	GO:0005975	carbohydrate metabolic process	biological_process
MSTRG.18948.1	GO:0006468	protein phosphorylation	biological_process
MSTRG.18948.1	GO:0006793	phosphorus metabolic process	biological_process
MSTRG.18948.1	GO:0006796	phosphate-containing compound metabolic process	biological_process
MSTRG.18948.1	GO:0006807	nitrogen compound metabolic process	biological_process
MSTRG.18948.1	GO:0006950	response to stress	biological_process
MSTRG.18948.1	GO:0008150	biological_process	biological_process
MSTRG.18948.1	GO:0008152	metabolic process	biological_process
MSTRG.18948.1	GO:0008176	tRNA (guanine-N7-)-methyltransferase activity	molecular_function
MSTRG.18948.1	GO:0009058	biosynthetic process	biological_process
MSTRG.18948.1	GO:0009266	response to temperature stimulus	biological_process
MSTRG.18948.1	GO:0009409	response to cold	biological_process
MSTRG.18948.1	GO:0009507	chloroplast	cellular_component
MSTRG.18948.1	GO:0009526	plastid envelope	cellular_component
MSTRG.18948.1	GO:0009532	plastid stroma	cellular_component
MSTRG.18948.1	GO:0009536	plastid	cellular_component
MSTRG.18948.1	GO:0009570	chloroplast stroma	cellular_component
MSTRG.18948.1	GO:0009579	thylakoid	cellular_component
MSTRG.18948.1	GO:0009628	response to abiotic stimulus	biological_process
MSTRG.18948.1	GO:0009941	chloroplast envelope	cellular_component
MSTRG.18948.1	GO:0009987	cellular process	biological_process
MSTRG.18948.1	GO:0010035	response to inorganic substance	biological_process
MSTRG.18948.1	GO:0010038	response to metal ion	biological_process
MSTRG.18948.1	GO:0010319	stromule	cellular_component
MSTRG.18948.1	GO:0015977	carbon fixation	biological_process
MSTRG.18948.1	GO:0015979	photosynthesis	biological_process
MSTRG.18948.1	GO:0016020	membrane	cellular_component
MSTRG.18948.1	GO:0016051	carbohydrate biosynthetic process	biological_process
MSTRG.18948.1	GO:0016301	kinase activity	molecular_function
MSTRG.18948.1	GO:0016310	phosphorylation	biological_process
MSTRG.18948.1	GO:0016740	transferase activity	molecular_function
MSTRG.18948.1	GO:0016772	transferase activity, transferring phosphorus-containing groups	molecular_function
MSTRG.18948.1	GO:0016773	phosphotransferase activity, alcohol group as acceptor	molecular_function
MSTRG.18948.1	GO:0019253	reductive pentose-phosphate cycle	biological_process
MSTRG.18948.1	GO:0019538	protein metabolic process	biological_process
MSTRG.18948.1	GO:0019685	photosynthesis, dark reaction	biological_process
MSTRG.18948.1	GO:0030312	external encapsulating structure	cellular_component
MSTRG.18948.1	GO:0031967	organelle envelope	cellular_component
MSTRG.18948.1	GO:0031975	envelope	cellular_component
MSTRG.18948.1	GO:0036211	protein modification process	biological_process
MSTRG.18948.1	GO:0042221	response to chemical	biological_process
MSTRG.18948.1	GO:0043170	macromolecule metabolic process	biological_process
MSTRG.18948.1	GO:0043226	organelle	cellular_component
MSTRG.18948.1	GO:0043227	membrane-bounded organelle	cellular_component
MSTRG.18948.1	GO:0043229	intracellular organelle	cellular_component
MSTRG.18948.1	GO:0043231	intracellular membrane-bounded organelle	cellular_component
